Driven_Wheels,Engine Fuel Type,Engine HP,Market Category,Number of Doors,Popularity,_id,city mpg,highway MPG,isDeleted,make,model,price,release_date,size,style,transmission_type,updatedAt
rear wheel drive,premium unleaded (required),335,"Factory Tuner,Luxury,High-Performance",2,3916,63da94561e713e44ab977593,19,26,true,asd,Colt,10000,2002,Compact,Coupe,MANUAL,2023-02-03T07:33:25.841Z
rear wheel drive,premium unleaded (required),300,"Luxury,Performance",2,3916,63da94561e713e44ab977594,19,28,false,BMW,1 Series,40650,2011,Compact,Convertible,MANUAL,2023-02-02T04:32:35.415Z
rear wheel drive,premium unleaded (required),300,"Luxury,High-Performance",2,3916,63da94561e713e44ab977595,20,28,false,BMW,1 Series,36350,2011,Compact,Coupe,MANUAL,2023-02-01T18:22:31.850Z
rear wheel drive,premium unleaded (required),230,"Luxury,Performance",2,3916,63da94561e713e44ab977596,18,28,true,BMW,1 Series,29450,2011,Compact,Coupe,MANUAL,2023-02-03T07:33:25.898Z
rear wheel drive,premium unleaded (required),230,Luxury,2,3916,63da94561e713e44ab977597,18,28,false,BMW,1 Series,34500,2011,Compact,Convertible,MANUAL,
rear wheel drive,premium unleaded (required),230,"Luxury,Performance",2,3916,63da94561e713e44ab977598,18,28,true,Aly update,1 Series,46135,2012,COMPACT,COUPE,MANUAL,2023-02-02T05:23:11.807Z
rear wheel drive,premium unleaded (required),300,"Luxury,Performance",2,3916,63da94561e713e44ab977599,17,26,true,BMW,1 Series,44100,2012,Compact,Convertible,MANUAL,2023-02-02T05:23:15.246Z
rear wheel drive,premium unleaded (required),300,"Luxury,High-Performance",2,3916,63da94561e713e44ab97759a,20,28,false,BMWxczxc,1 Serieszxczxc,39300,2012,Compact,Coupe,MANUAL,2023-02-03T07:32:56.996Z
rear wheel drive,premium unleaded (required),230,Luxury,2,3916,63da94561e713e44ab97759b,18,28,false,BMW,1 Series,36900,2012,Compact,Convertible,MANUAL,
rear wheel drive,premium unleaded (required),230,Luxury,2,3916,63da94561e713e44ab97759c,18,27,false,BMW,1 Series,37200,2013,Compact,Convertible,MANUAL,
rear wheel drive,premium unleaded (required),300,"Luxury,High-Performance",2,3916,63da94561e713e44ab97759d,20,28,false,BMW,1 Series,39600,2013,Compact,Coupe,MANUAL,
rear wheel drive,premium unleaded (required),230,"Luxury,Performance",2,3916,63da94561e713e44ab97759e,19,28,false,BMW,1 Series,31500,2013,Compact,Coupe,MANUAL,
